Code	Time	Theme	Title	Authors
"20-0238"	2019	"Software / Systems"	'A Learning-Based Device Driver Synthesis System'	"Fang Jin,Zhenkai Zhang"
"23-0221"	2022	"Algorithms / Theory / Optimization"	'AF: Small: Parameterized and Approximation Algorithms for Integer Programming with a Few Global Variables and Constraints'	"Lin Chen,Abdul Serwadda"
"23-1192"	2023	"Education & Workforce Development"	'AI Across the Curriculum for Virtual Schools'	"Victor Sheng,Yuanlin Zhang"
"20-0430"	2020	"Education & Workforce Development"	'AI Augmented Learning of Abstraction'	"Michael Gelfond,Yuanlin Zhang"
"20-0530"	2020	"AI / Machine Learning"	'AI Institute: Planning: A Research and Practice Hub of Self-Aware Data'	"Fang Jin,Victor Sheng,Akbar Siami Namin"
"25-0314"	2024	"Education & Workforce Development"	'AI-proofing Homework for Enhanced Learning: A New Paradigm for STEM Education'	"Tommy Dang,Abdul Serwadda"
"19-0925"	2019	"AI / Machine Learning"	'Action Languages for Story Understanding in an Explainable and Transparent Fashion'	"Michael Gelfond,Yuanlin Zhang"
"19-0519"	2019	"AI / Machine Learning"	'An Answer Set Programming Approach to Adaptable Clinical Practice Guideline Based Decision Support'	"Michael Gelfond,Yuanlin Zhang"
"22-0147"	2021	"Healthcare / Biomedical"	'Assessing Competencies for an EHR Enhanced Simulation Program (EHR-ESP: GO-DIGITAL)'	"Rattikorn Hewett,Ying Liu,Tara Thaer Salman,Victor Sheng"
"20-0411"	2020	"Blockchain & Privacy"	'CCRI:Planning:Collaborative Research:Key Technologies of Blockchain for IoT'	"Lin Chen,Zhenkai Zhang"
"25-0837"	2025	"Cybersecurity"	'CICI:IPAAI:SciCyPAI - Data Integrity and Security in Scientific Cyber-Physical Artificial Intelligence Systems Under Indirect Adversarial Attacks'	"Tara Thaer Salman,Victor Sheng,Stas Tiomkin"
"25-0877"	2025	"Cybersecurity"	'CICI:UCSS:SHIELD: Strengthening High-performance Infrastructure with Enhanced Layered Defense.'	"Yong Chen,Tianxi Ji,Jie Li,Song Liao"
"21-1246"	2021	"Data / Metadata / Scientific Data"	'CISE:IIS:III:Core:Small: Multi-Source Heterogeneous Information Fusion and Interactive Learning within Crowdsourcing'	"Rattikorn Hewett,Victor Sheng"
